x,y,z,timestamp
-0.61,0.18,0.06,2025-09-02 18:12:52.169
-0.61,0.18,0.0,2025-09-02 18:12:53.194
-0.55,0.24,0.06,2025-09-02 18:12:54.213
-0.55,0.18,0.06,2025-09-02 18:12:55.239
-0.61,0.18,0.0,2025-09-02 18:12:56.059
4.64,-1.34,-0.31,2025-09-02 18:12:57.089
4.09,12.21,34.36,2025-09-02 18:12:58.103
3.42,4.09,-6.59,2025-09-02 18:12:59.132
0.31,0.55,0.18,2025-09-02 18:13:00.153
0.24,0.85,-0.61,2025-09-02 18:13:01.183
-1.59,0.79,0.06,2025-09-02 18:13:02.199
0.18,0.43,0.0,2025-09-02 18:13:03.229
-1.1,0.18,0.06,2025-09-02 18:13:03.734
-1.4,-4.76,-7.2,2025-09-02 18:13:05.273
1.1,-0.43,1.34,2025-09-02 18:13:06.093
-2.81,2.99,-5.43,2025-09-02 18:13:07.124
-10.62,0.98,-5.74,2025-09-02 18:13:08.144
-3.17,-1.34,8.0,2025-09-02 18:13:09.163
-1.04,0.37,-0.79,2025-09-02 18:13:10.193
-2.32,-1.16,-3.78,2025-09-02 18:13:11.212
-0.85,-0.12,-0.12,2025-09-02 18:13:12.232
-0.61,-0.31,0.06,2025-09-02 18:13:13.258
-0.37,0.92,-0.37,2025-09-02 18:13:14.288
-2.32,0.37,-4.09,2025-09-02 18:13:15.318
-2.08,0.73,-0.24,2025-09-02 18:13:16.124
-1.53,0.24,-1.65,2025-09-02 18:13:17.148
-0.37,0.55,0.24,2025-09-02 18:13:18.178
-1.59,0.24,-1.59,2025-09-02 18:13:19.198
-0.06,0.18,0.37,2025-09-02 18:13:20.222
313.29,105.77,-55.48,2025-09-02 18:13:21.253
-0.55,0.18,0.0,2025-09-02 18:13:22.269
-0.55,0.18,0.0,2025-09-02 18:13:23.292
-0.55,0.18,0.0,2025-09-02 18:13:24.351
-0.61,0.24,0.0,2025-09-02 18:13:25.344
-0.61,0.24,0.0,2025-09-02 18:13:26.169
-0.61,0.18,0.0,2025-09-02 18:13:27.210
-0.55,0.18,0.0,2025-09-02 18:13:28.209
-0.85,0.06,0.0,2025-09-02 18:13:29.233
-0.55,0.18,0.0,2025-09-02 18:13:30.263
-0.61,0.18,0.0,2025-09-02 18:13:31.285
-0.61,0.12,0.06,2025-09-02 18:13:32.303
-0.55,0.18,0.0,2025-09-02 18:13:33.332
-0.55,0.18,0.0,2025-09-02 18:13:34.358
-0.55,0.18,0.0,2025-09-02 18:13:35.378
-0.49,0.18,0.0,2025-09-02 18:13:36.412
-0.55,0.24,0.0,2025-09-02 18:13:37.223
-0.55,0.18,0.0,2025-09-02 18:13:38.253
-0.55,0.18,0.0,2025-09-02 18:13:39.273
-0.55,0.24,0.06,2025-09-02 18:13:40.309
-0.55,0.18,0.0,2025-09-02 18:13:41.323
-0.55,0.18,0.0,2025-09-02 18:13:42.343
-0.55,0.18,0.0,2025-09-02 18:13:43.363
-0.61,0.18,0.0,2025-09-02 18:13:44.400
-0.61,0.18,0.06,2025-09-02 18:13:45.413
-0.61,0.18,0.0,2025-09-02 18:13:46.443
-0.61,0.24,0.0,2025-09-02 18:13:47.253
-0.61,0.18,0.0,2025-09-02 18:13:48.278
-0.61,0.18,0.0,2025-09-02 18:13:49.329
-0.61,0.18,0.06,2025-09-02 18:13:50.332
-0.55,0.18,0.0,2025-09-02 18:13:51.358
-0.61,0.18,0.06,2025-09-02 18:13:52.375
-0.55,0.18,0.0,2025-09-02 18:13:53.402
-0.61,0.18,0.0,2025-09-02 18:13:54.422
-0.55,0.24,0.06,2025-09-02 18:13:55.448
-0.55,0.18,0.0,2025-09-02 18:13:56.473
-0.61,0.24,0.0,2025-09-02 18:13:57.293
-0.55,0.24,0.0,2025-09-02 18:13:58.319
-0.55,0.18,0.0,2025-09-02 18:13:59.338
-0.55,0.24,0.0,2025-09-02 18:14:00.368
-0.61,0.18,0.06,2025-09-02 18:14:01.394
-0.55,0.24,0.06,2025-09-02 18:14:02.413
-0.61,0.18,0.0,2025-09-02 18:14:03.433
